segment_onset,segment_offset,speaker_type
5100116,5100492,NA
5101037,5102421,NA
5101091,5102115,CHI
5103127,5103488,MAL
5112492,5128678,NA
5112744,5126757,CHI
5126161,5126693,OCH
5126785,5128186,FEM
5128797,5128993,NA
5130992,5131674,NA
5140267,5140993,NA
5142992,5147314,NA
5143103,5143277,OCH
5143492,5144781,CHI
5143492,5145623,OCH
5146025,5148767,OCH
5148212,5149003,NA
5150010,5151569,NA
5150488,5151511,FEM
5153492,5157493,NA
5153510,5153709,FEM
5154011,5157157,FEM
5155577,5156994,MAL
5159492,5159828,MAL
5160011,5161511,MAL
5160147,5170993,NA
5161907,5167007,FEM
5166771,5168138,CHI
5168647,5170615,FEM
5170743,5170856,FEM
5172410,5173991,FEM
5172469,5173991,NA
5177049,5177179,NA
5177456,5177701,NA
5182694,5192147,NA
5182883,5192149,FEM
5186541,5186863,MAL
5193011,5198011,FEM
5193011,5202272,NA
5196790,5202440,MAL
5198231,5198511,FEM
5203327,5203641,NA
5214011,5215012,NA
5214167,5215011,FEM
5217510,5218983,NA
5224011,5251510,NA
5224011,5229011,FEM
5228012,5230110,MAL
5230492,5233690,CHI
5230992,5232163,FEM
5233942,5234511,FEM
5235423,5241996,CHI
5242030,5248849,FEM
5244127,5244517,CHI
5245493,5247481,CHI
5248150,5250237,MAL
5249435,5251281,FEM
5252114,5259622,NA
5252118,5253802,FEM
5254075,5254445,OCH
5255331,5257884,OCH
5255493,5256492,CHI
5257992,5259011,CHI
5258279,5259173,OCH
5263820,5266218,NA
5263993,5266092,FEM
5273492,5274100,FEM
5273492,5280512,NA
5274970,5277937,CHI
5276991,5277197,OCH
5277511,5277825,OCH
5278510,5280491,CHI
5282265,5283217,MAL
5282272,5283229,NA
5286851,5288513,MAL
5286992,5290524,NA
5288012,5288172,FEM
5289011,5290992,OCH
5290643,5296991,NA
5291992,5295028,FEM
5294555,5294886,MAL
5295277,5295415,OCH
5295618,5300512,OCH
5297511,5300883,NA
5298510,5299676,CHI
5300822,5303031,OCH
5301511,5302122,NA
5302393,5303492,NA
5303274,5303375,OCH
5304012,5304883,NA
5304012,5305612,OCH
5305510,5313492,NA
5306492,5313492,CHI
5309398,5310011,OCH
5314992,5320183,NA
5315011,5319010,FEM
5319096,5320117,CHI
5322491,5326494,NA
5322513,5326011,FEM
5327794,5332011,NA
5328011,5332010,FEM
5330551,5331415,MAL
5333848,5341082,NA
5333894,5335011,CHI
5335089,5338445,FEM
5338011,5341022,OCH
5339493,5340396,CHI
5343011,5343553,NA
5343239,5343430,CHI
5347011,5348992,NA
5347262,5348688,FEM
5358967,5365493,NA
5358995,5361180,OCH
5360487,5362605,FEM
5363400,5364527,FEM
5364993,5365180,OCH
5365492,5366073,OCH
5366927,5368615,OCH
5368511,5368793,NA
5368992,5375752,NA
5369630,5372492,FEM
5372220,5373168,CHI
5373324,5375724,FEM
5376858,5422493,NA
5377011,5382511,FEM
5382632,5382742,CHI
5383876,5385167,CHI
5383992,5394561,FEM
5394992,5396234,OCH
5395511,5396041,CHI
5396640,5397992,CHI
5398012,5398937,MAL
5399340,5401991,FEM
5401436,5402511,OCH
5401510,5404510,CHI
5403191,5403512,FEM
5403324,5404217,OCH
5405365,5412282,FEM
5405549,5405755,CHI
5412479,5421991,FEM
5420993,5422491,MAL
5424492,5424617,NA
5424992,5428510,NA
5425243,5427992,FEM
5426987,5428533,MAL
5428634,5428953,MAL
5429992,5438478,NA
5430512,5434511,MAL
5432091,5432327,FEM
5432446,5434657,FEM
5434992,5437705,CHI
5436992,5438693,OCH
5444591,5448992,NA
5444992,5446511,FEM
5447615,5448810,FEM
5451757,5452763,MAL
5451811,5465859,NA
5452996,5455072,CHI
5455387,5461449,FEM
5462011,5463936,CHI
5463016,5463202,OCH
5463710,5463867,OCH
5464049,5465013,FEM
5465175,5466581,OCH
5479491,5481016,FEM
5479491,5481079,NA
5481491,5482492,NA
5489292,5491511,OCH
5489335,5493992,NA
5489748,5490438,CHI
5490992,5492944,CHI
5492990,5493992,FEM
5498948,5500971,OCH
5498992,5506491,NA
5500104,5500548,CHI
5501895,5502992,FEM
5503510,5503736,FEM
5503992,5505492,FEM
5505464,5505724,OCH
5505938,5506421,OCH
5506618,5506785,OCH
5510963,5511511,MAL
5511011,5511276,NA
5511625,5512865,NA
5511896,5512510,FEM
5514512,5516552,MAL
5514963,5516132,NA
5521001,5521511,OCH
5521952,5522401,OCH
5523508,5526221,OCH
5523793,5530572,NA
5526372,5528537,FEM
5528993,5530512,FEM
5531829,5532830,NA
5531910,5532737,FEM
5533041,5534290,FEM
5533043,5534297,NA
5537033,5537549,NA
5537867,5538027,NA
5540992,5543992,OCH
5541011,5552150,NA
5543922,5547633,FEM
5546510,5546839,MAL
5548343,5550741,FEM
5550992,5552813,OCH
5555512,5558463,NA
5555549,5557258,MAL
5556052,5556332,FEM
5556511,5558136,FEM
5560490,5562137,NA
5560893,5561511,FEM
5562025,5562126,FEM
5565512,5567993,NA
5565647,5567993,FEM
5572697,5575881,NA
