segment_onset,segment_offset,speaker_type
1279992,1291423,NA
1280009,1286607,OCH
1285212,1286014,CHI
1287011,1287617,FEM
1287993,1291012,CHI
1289010,1291033,OCH
1291874,1295991,NA
1292149,1294108,FEM
1293011,1293863,CHI
1294512,1295881,OCH
1296805,1297897,NA
1296935,1297931,OCH
1298276,1299056,OCH
1298477,1299198,NA
1304591,1316512,NA
1305332,1305492,FEM
1305492,1305632,OCH
1305860,1308241,OCH
1307517,1310716,CHI
1311061,1316194,CHI
1313493,1313702,OCH
1317624,1332992,NA
1318049,1319070,CHI
1320011,1328010,CHI
1324650,1324832,MAL
1328476,1330067,OCH
1330012,1330326,FEM
1330992,1332629,CHI
1331011,1331490,OCH
1333555,1338768,OCH
1333645,1333763,NA
1334492,1341156,NA
1339050,1341035,OCH
1339721,1341010,CHI
1348010,1349564,NA
1348454,1349510,FEM
1352992,1355682,NA
1353458,1355211,OCH
1355822,1357233,NA
1355923,1357818,OCH
1358243,1360624,NA
1358267,1359673,OCH
1358492,1360011,FEM
1361959,1364035,NA
1362003,1364011,OCH
1364936,1366512,NA
1365238,1366242,OCH
1365491,1366335,CHI
1367363,1374015,NA
1367621,1367992,CHI
1367990,1369691,FEM
1369011,1369397,CHI
1370186,1370304,CHI
1370788,1372492,OCH
1370815,1371011,CHI
1371492,1373795,CHI
1375512,1381012,NA
1375881,1376831,FEM
1377348,1381020,OCH
1382360,1384150,NA
1382464,1382996,FEM
1385191,1390093,NA
1385373,1389492,FEM
1385485,1386511,OCH
1388602,1389304,MAL
1390573,1392125,OCH
1390886,1392057,NA
1392512,1392650,NA
1393134,1394820,NA
1393214,1394718,FEM
1396688,1397614,NA
1396992,1397512,OCH
1399945,1423492,NA
1399992,1401995,CHI
1401511,1403492,OCH
1402172,1413164,CHI
1404648,1404987,OCH
1405355,1407387,OCH
1407772,1408565,OCH
1412978,1414512,FEM
1414663,1422992,CHI
1424341,1424462,OCH
1424410,1424992,NA
1428685,1435730,NA
1428945,1429559,FEM
1429861,1430077,FEM
1429993,1430693,OCH
1431798,1432569,CHI
1431818,1434010,OCH
1431883,1432170,FEM
1433465,1435492,FEM
1435868,1437016,NA
1440593,1441982,NA
1440597,1441512,OCH
1442949,1445588,NA
1444863,1445013,CHI
1445786,1447615,NA
1445992,1447330,OCH
1446010,1447510,CHI
1449623,1450992,NA
1450195,1450607,OCH
1451625,1458228,NA
1451667,1452652,OCH
1453493,1454642,FEM
1455482,1458381,OCH
1459011,1460724,OCH
1459011,1462160,NA
1460896,1461492,OCH
1463258,1467382,NA
1463268,1465072,FEM
1465619,1467101,OCH
1468252,1477012,OCH
1468312,1475492,NA
1473429,1473920,CHI
1476362,1477511,NA
1482992,1488721,NA
1483043,1484992,OCH
1485147,1485341,FEM
1485498,1487493,FEM
1488011,1488249,FEM
1490511,1502992,NA
1490675,1498053,FEM
1493011,1493870,OCH
1498821,1500908,CHI
1500464,1502121,FEM
1502078,1502486,OCH
1503392,1512484,NA
1503492,1507203,OCH
1505491,1505982,FEM
1507461,1512373,FEM
1515939,1516513,NA
1516803,1518264,MAL
1516808,1518266,NA
1519617,1523119,NA
1519830,1522992,FEM
1522209,1522314,OCH
1531955,1532147,MAL
1531965,1532147,NA
1533511,1541586,OCH
1533684,1547010,NA
1540569,1542511,FEM
1543809,1544511,FEM
1543835,1547048,OCH
1547512,1559672,NA
1548011,1550070,FEM
1550009,1553639,MAL
1553776,1555870,FEM
1555586,1557510,CHI
1556746,1557510,OCH
1557993,1559630,OCH
1565494,1567011,OCH
1565992,1566795,NA
1567225,1567633,OCH
1567991,1569149,OCH
1568297,1568943,NA
1570102,1570494,OCH
1575504,1575993,NA
1581010,1583168,OCH
1581512,1581618,NA
1582676,1583012,NA
1589949,1592541,NA
1590104,1591344,OCH
1591446,1591561,OCH
1591512,1591659,FEM
1591675,1592510,OCH
1593135,1594492,NA
1593282,1593412,FEM
1596512,1597673,NA
1597011,1597580,FEM
1598208,1602278,NA
1598417,1599969,FEM
1598765,1600218,OCH
1600393,1601352,FEM
1601512,1602278,OCH
1602499,1606848,OCH
1602833,1605351,NA
1605697,1606392,NA
1611011,1611338,NA
1611460,1612785,NA
1611546,1612837,OCH
1613491,1613807,NA
1616213,1620314,NA
1616335,1617891,FEM
1619511,1620010,FEM
1622786,1623628,NA
1624637,1630049,OCH
1624671,1629897,NA
1631144,1632059,OCH
1631153,1632685,NA
1632169,1634012,MAL
1632263,1632432,OCH
1633159,1633549,NA
1637213,1638853,OCH
1637246,1638885,NA
1640993,1643183,OCH
1641011,1643011,NA
1645498,1645682,OCH
1646511,1647993,NA
1646632,1648011,OCH
1646887,1647815,CHI
1648385,1649784,OCH
1648418,1649780,NA
1649020,1649180,CHI
1654012,1654511,OCH
1666867,1667809,NA
1666894,1667512,FEM
1668813,1669012,OCH
1669191,1669302,OCH
1670726,1671421,OCH
1675861,1677651,OCH
1675991,1676214,NA
1676857,1677456,NA
1678585,1680409,NA
1678755,1680011,OCH
1678766,1679993,FEM
1686597,1688765,NA
1686628,1688154,OCH
1689351,1690218,NA
1689992,1691553,OCH
1691049,1691365,NA
1692110,1692908,NA
1698114,1699715,NA
1700139,1705011,NA
1700237,1701118,OCH
1702011,1704947,FEM
1705119,1707006,NA
1705339,1705992,FEM
1705492,1707061,OCH
1708511,1734011,NA
1708946,1710121,FEM
1710636,1712026,CHI
1712492,1714878,CHI
1714719,1715045,FEM
1715075,1718008,CHI
1715313,1715510,FEM
1716208,1716422,OCH
1717970,1719492,FEM
1719665,1719984,MAL
1720172,1720785,OCH
1721476,1723704,FEM
1723712,1724510,CHI
1724169,1726513,FEM
1726993,1727184,FEM
1726993,1727231,OCH
1727492,1734018,FEM
1727634,1727992,OCH
1736107,1737492,OCH
1736400,1737242,NA
1737929,1743491,NA
1737931,1740413,OCH
1740509,1743444,FEM
1744511,1748492,NA
1744605,1746915,CHI
1747492,1748240,FEM
1750511,1752222,NA
1750678,1752011,FEM
1750992,1752011,OCH
1752862,1753007,NA
1753599,1754072,NA
1754492,1754767,NA
1755992,1757242,NA
1756274,1756929,CHI
1756289,1756890,OCH
1758102,1758728,NA
1758281,1758673,OCH
1759828,1761109,NA
1759934,1761063,FEM
1764492,1767948,NA
1765061,1765993,CHI
1765510,1768087,OCH
1768512,1769011,OCH
1768554,1769244,NA
1771762,1773510,OCH
1771789,1774011,NA
1776792,1779286,NA
1776992,1778592,OCH
1777937,1778993,FEM
1782493,1785509,NA
1783073,1785957,OCH
1783294,1783510,FEM
1786011,1818241,NA
1786382,1787180,OCH
1786492,1787484,FEM
1787614,1808492,OCH
1790161,1791931,CHI
1800085,1800261,FEM
1800492,1801024,FEM
1802176,1802492,CHI
1803320,1803448,FEM
1803560,1804012,FEM
1807063,1807581,CHI
1808011,1808794,FEM
1809343,1811493,OCH
1810492,1810958,CHI
1811992,1813685,FEM
1814076,1816358,FEM
1815561,1818011,OCH
1816992,1817512,CHI
1818833,1822071,NA
1819873,1822011,OCH
1820070,1820492,CHI
1824992,1825419,NA
1827492,1866028,NA
1827642,1829027,OCH
1829674,1838012,CHI
1830296,1830978,OCH
1835644,1839004,FEM
1838496,1849993,OCH
1839652,1839807,CHI
1843012,1844512,CHI
1844492,1845825,FEM
1847352,1847784,CHI
1849495,1849706,CHI
1849927,1850754,FEM
1851103,1851511,FEM
1852613,1858501,OCH
1852991,1854795,CHI
1854993,1855520,CHI
1859041,1862011,CHI
1860356,1860515,OCH
1861144,1862011,OCH
1863493,1865606,FEM
1866252,1868463,NA
1866289,1868039,OCH
1867506,1868227,FEM
1868957,1875666,NA
1868992,1870295,FEM
1871257,1872511,CHI
1872099,1875511,FEM
1874492,1874951,OCH
1877008,1881993,NA
1877011,1878591,FEM
1878795,1882558,OCH
1882096,1882698,NA
1882992,1888151,NA
1884303,1887992,FEM
1884337,1885896,OCH
1889011,1895493,NA
1889085,1895378,FEM
1897791,1899492,OCH
1897793,1902963,NA
1899492,1901465,FEM
1901011,1902526,OCH
1903439,1905192,NA
1903508,1904413,FEM
1906102,1908156,NA
1906107,1908010,OCH
1908851,1910500,NA
1909011,1911645,OCH
1910930,1912012,NA
1915512,1919447,NA
1916011,1919011,FEM
1919735,1922010,NA
1919874,1921992,OCH
1919995,1920110,CHI
1920237,1921511,CHI
1925810,1942648,NA
1925819,1927449,OCH
1927010,1930837,FEM
1930492,1931324,MAL
1931642,1932992,CHI
1932010,1934430,OCH
1933615,1934477,CHI
1935449,1940491,FEM
1940721,1940854,FEM
1940993,1942287,FEM
1944321,1950492,NA
1944508,1946511,OCH
1944581,1945511,CHI
1945558,1945992,FEM
1946194,1946472,CHI
1947966,1949497,OCH
1948943,1950183,FEM
1951012,1952993,NA
1951194,1952898,OCH
1951196,1952011,CHI
1954511,1978683,NA
1954704,1955992,OCH
1954947,1957271,CHI
1958298,1958413,OCH
1958646,1960619,FEM
1961013,1963264,OCH
1961035,1961511,FEM
1961511,1963651,CHI
1964017,1964879,CHI
1965284,1966011,CHI
1965934,1968352,FEM
1966996,1967715,OCH
1968708,1968818,FEM
1968877,1968992,CHI
1968992,1975428,OCH
1972860,1972965,CHI
1973148,1973491,CHI
1974621,1976761,FEM
1976705,1977367,CHI
1977176,1978555,FEM
1979011,1984472,NA
1979647,1981604,FEM
1981992,1983992,OCH
1983493,1983982,CHI
1984778,1987858,NA
1984989,1987510,OCH
1988012,1994230,NA
1988511,1994112,FEM
1991172,1992240,OCH
1994993,1996427,FEM
1995011,1996422,NA
1997833,2020351,NA
1997906,1998999,CHI
1998425,2003572,OCH
1999539,2000234,CHI
2000336,2002012,CHI
2002251,2002474,CHI
2003010,2006647,FEM
2006924,2008011,OCH
2007059,2010299,CHI
2008748,2009006,FEM
2010273,2011127,FEM
2010682,2012866,CHI
2012011,2016510,OCH
2013992,2014335,CHI
2014514,2015017,FEM
2015650,2016349,CHI
2016139,2017528,FEM
2018073,2019511,OCH
2018523,2018761,CHI
2019011,2020211,FEM
2020494,2020595,NA
2021510,2025108,FEM
2021510,2028356,NA
2025258,2026672,CHI
2026080,2028010,OCH
2027162,2027398,CHI
2027492,2028010,FEM
2030191,2031511,NA
2030493,2031011,CHI
2042565,2043721,CHI
2042602,2045673,NA
2043676,2045502,FEM
2046379,2073011,NA
2046492,2047511,FEM
2047992,2048837,CHI
2048917,2050010,FEM
2049487,2050562,CHI
2050878,2052118,FEM
2051981,2052094,CHI
2052503,2055967,CHI
2053418,2053786,FEM
2055809,2056992,FEM
2056403,2059511,CHI
2059781,2060567,FEM
2061492,2062805,CHI
2061587,2065510,OCH
2062992,2063137,CHI
2064103,2064312,CHI
2064634,2064950,FEM
2064918,2065978,CHI
2065993,2067363,FEM
2067420,2068741,CHI
2068885,2072992,FEM
2077010,2079663,NA
2077107,2079493,FEM
2080991,2082511,OCH
2081054,2083433,NA
2082851,2083011,OCH
2085807,2088011,FEM
2085807,2088320,NA
2100603,2102873,NA
2100641,2102141,CHI
2101935,2102672,FEM
2104272,2104491,NA
2106235,2107511,NA
2106493,2107273,OCH
2109338,2120259,NA
2109491,2112949,FEM
2112397,2112697,OCH
2113045,2113258,OCH
2114257,2119993,FEM
2120491,2123993,NA
2120492,2123869,FEM
2125367,2131169,NA
2125411,2127362,FEM
2127696,2129086,CHI
2127757,2128520,OCH
2129078,2131020,FEM
2133319,2136095,NA
2133525,2135982,CHI
2134370,2135511,OCH
2136559,2144991,NA
2136581,2139013,OCH
2137511,2139499,CHI
2139151,2139406,OCH
2139359,2144975,FEM
2139737,2139988,CHI
2145442,2149581,NA
2145569,2147027,FEM
2147124,2148115,CHI
2148231,2149416,CHI
2148333,2149484,OCH
2150135,2153512,NA
2150199,2153512,FEM
2155511,2155617,NA
2155845,2156302,NA
2156976,2159511,MAL
2156993,2158011,NA
2160805,2161018,MAL
2165500,2166872,MAL
2166510,2166817,NA
2166991,2172047,NA
2167493,2168993,FEM
2168492,2170406,OCH
2170010,2172011,FEM
2174857,2176426,FEM
