recording_filename,segment_onset,segment_offset,child_id,duration_its,voc_dur_chi,voc_chi,avg_voc_dur_chi,wc_fem,wc_mal,wc_adu,5s_CTC,CVC,speechlike_pitch,nonspeechlike_pitch
20180809_181624_025481.wav,41905000,42025000,2781,120000,57250.0,42,1363.095238095238,16.490000000000002,0.0,16.490000000000002,3,16.0,"[613.5307967674556, 458.2879759681817, 406.9822798001516, 539.9685630296053, 354.54489153856065, 386.35286339664253, 488.83965931015695, 501.4299751685869, 501.87888530457474, 339.8796552406174, 296.4923031335722, 379.8880783341377, 441.7117836574144]","[431.03409181983045, 574.8976711992203, 403.23102688633327, 449.395615875697, 465.0346353493369, 546.8246781332216, 672.1031731632536, 547.7381546068408, 530.9227677472501, 306.9369830056461, 385.215313145998, 374.9796090629275, 445.4564000675181, 475.1665592698159, 392.70950603609293, 652.0115589948316, 502.29661458939523, 503.5526879552033, 566.0415348938517, 514.3953762983705, 437.59364012281947, 624.2008870489326, 570.437425699409, 621.966466198318, 345.1049830055032, 550.5095995693916, 409.27667440420134, 423.3552724957468, 526.76529734965]"
20180906_131431_024882.wav,1639000,1759000,3591,120000,1510.0,2,755.0,102.55,9.68,112.23,1,2.0,"[298.1199115187125, 280.4728175492529]",[]
20180906_131431_024882.wav,5817000,5937000,3591,120000,0.0,0,,0.0,0.0,0.0,0,0.0,[],[]
20180906_131431_024882.wav,6837000,6957000,3591,120000,2030.0,3,676.6666666666666,59.44,0.0,59.44,2,3.0,"[323.45704289123535, 269.6757584761493, 344.3111776392929]",[]
20180906_131431_024882.wav,7296000,7416000,3591,120000,16160.0,9,1795.5555555555557,0.0,0.0,0.0,0,7.0,"[314.9013218484044, 283.2388166918339, 200.30348419013472, 269.7651027502067, 324.8694072070425, 311.73443039998176, 294.119295995056]","[300.4872240096929, 266.53094489635606]"
20180906_131431_024882.wav,9384000,9504000,3591,120000,4630.0,5,926.0,70.88,0.0,70.88,1,5.0,"[263.45059038129835, 245.5385416074629, 357.39929412032603, 301.37176042816196, 253.85729288716254]",[]
20180906_131431_024882.wav,14868000,14988000,3591,120000,0.0,0,,0.0,0.0,0.0,0,0.0,[],[]
20180906_131431_024882.wav,16289000,16409000,3591,120000,8780.0,8,1097.5,17.439999999999998,0.0,17.439999999999998,3,10.0,"[357.5646684834354, 345.4252306047321, 266.6479551132143, 338.7292252882821, 360.14221409060445, 309.5489113211108, 293.89701713020395]",[319.10724293912773]
20180906_131431_024882.wav,18264000,18384000,3591,120000,12390.0,11,1126.3636363636365,36.31999999999999,0.0,36.32,3,6.0,"[291.8831736093391, 345.8245299394025, 238.2896873292241, 403.74068981525426, 310.2036301730095]","[366.4279956913946, 370.09492374833155, 345.49632243971377, 348.6928839830333, 285.5857673182207, 358.0001038187132]"
20180906_131431_024882.wav,36581000,36701000,3591,120000,15000.0,14,1071.428571428571,36.16,1.29,37.45,4,15.0,"[366.0470550560052, 258.04070378928986, 237.98143390593927, 253.45651686216743, 651.1557840700159, 261.3868402471477, 629.2912439384542, 268.6895795979241, 226.4932079591725, 651.9893672115899, 277.2597984561981]","[224.70470067004376, 223.5936227208824, 250.40411668147235]"
