recording_filename,segment_onset,segment_offset,child_id,duration_its,voc_dur_chi,voc_chi,avg_voc_dur_chi,wc_fem,wc_mal,wc_adu,5s_CTC,CVC
20220805_082527_043300_2.wav,39778000,39898000,6981,120000,0.0,0,,146.57,41.239999999999995,187.80999999999997,0,0.0
20220711_142955_024883_2.wav,7296000,7416000,7011,120000,10920.0,10,1092.0,0.0,0.0,0.0,0,5.0
20220712_113417_045737_3.wav,41905000,42025000,7061,120000,0.0,0,,0.0,0.0,0.0,0,0.0
20230308_094400_045733_2.wav,18264000,18384000,7121,120000,0.0,0,,0.0,0.0,0.0,0,0.0
20180808_110630_024879.wav,16289000,16409000,3501,120000,0.0,0,,0.0,0.0,0.0,0,0.0
20220720_091357_024879_1.wav,39778000,39898000,7051,120000,33360.0,30,1112.0,0.0,0.0,0.0,0,13.0
20230328_132555_045737_1.wav,9384000,9504000,6451,120000,5420.0,6,903.3333333333334,18.03,13.11,31.14,1,6.0
20180530_181655_022873.wav,14868000,14988000,3321,120000,37460.0,24,1560.8333333333333,62.93,0.0,62.93000000000001,5,16.0
20180530_181655_022873.wav,7296000,7416000,3321,120000,4520.0,6,753.3333333333334,27.600000000000005,0.0,27.6,1,3.0
20220720_091357_024879_1.wav,18264000,18384000,7051,120000,18200.0,21,866.6666666666666,163.07,79.52999999999999,242.60000000000002,10,19.0
20190618_135122_024883.wav,16289000,16409000,5011,120000,0.0,0,,23.27,0.0,23.27,0,0.0
20220731_113759_045737_2.wav,5817000,5937000,7131,120000,0.0,0,,34.6,7.9,42.5,0,0.0
20201104_094551_024882_1.wav,16289000,16409000,3871,120000,0.0,0,,12.26,0.0,12.26,0,0.0
20210318_114924_043305_2.wav,6837000,6957000,5181,120000,6490.0,6,1081.6666666666667,8.21,84.70000000000002,92.91,4,5.0
20210414_211244_024882_1.wav,49860000,49980000,5371,120000,0.0,0,,0.0,0.0,0.0,0,0.0
20210318_114924_043305_2.wav,2072000,2192000,5181,120000,600.0,1,600.0,0.0,5.47,5.47,1,1.0
20231025_115855_045737_2.wav,15408000,15528000,6731,120000,5430.0,6,905.0,73.74000000000001,78.33,152.07,1,5.0
20201104_094551_024882_1.wav,48958000,49078000,3871,120000,7100.0,10,710.0,46.900000000000006,10.11,57.010000000000005,4,7.0
20230328_132555_045737_1.wav,18264000,18384000,6451,120000,800.0,1,800.0,0.0,0.0,0.0,0,0.0
20220513_113018_024879_2.wav,8264000,8384000,6371,120000,9000.0,10,900.0,0.0,6.18,6.18,0,4.0
20220731_113759_045737_2.wav,41905000,42025000,7131,120000,12920.0,12,1076.6666666666667,18.78,0.0,18.78,1,3.0
20181218_132113_024879.wav,36581000,36701000,3131,120000,3460.0,2,1730.0,5.89,1.57,7.459999999999999,0,4.0
20230131_124242_043302_2.wav,5817000,5937000,7251,120000,810.0,1,810.0,39.56,16.51,56.06999999999999,1,1.0
20210504_102146_025480_2.wav,39778000,39898000,6261,120000,1000.0,1,1000.0,69.35000000000001,0.0,69.35,1,2.0
20230321_124603_024879_1.wav,18264000,18384000,7291,120000,2230.0,3,743.3333333333334,64.22,8.56,72.78,0,1.0
20230301_083834_024880_2.wav,34798000,34918000,6921,120000,0.0,0,,62.28,10.79,73.07000000000002,0,0.0
20211022_110857_045737_2.wav,36581000,36701000,6161,120000,1260.0,2,630.0,3.12,0.0,3.12,0,2.0
20210624_093317_024883_2.wav,41905000,42025000,5851,120000,0.0,0,,0.0,0.0,0.0,0,0.0
20180808_110630_024879.wav,2072000,2192000,3501,120000,720.0,1,720.0,3.56,0.0,3.56,0,1.0
20231025_115855_045737_2.wav,16567000,16687000,6731,120000,47960.0,35,1370.2857142857142,10.79,0.0,10.79,1,6.0
20190828_145547_024884_2.wav,14868000,14988000,5061,120000,14840.0,12,1236.6666666666667,219.05999999999997,5.19,224.25,7,16.0
20230425_114841_045738_2.wav,28611000,28731000,6212,120000,0.0,0,,0.0,0.0,0.0,0,0.0
20211019_120823_045733_2.wav,39778000,39898000,6461,120000,15210.0,17,894.7058823529412,0.0,0.0,0.0,0,20.0
20220829_105740_024880_2.wav,14868000,14988000,7171,120000,20740.0,13,1595.3846153846155,4.21,1.62,5.83,3,10.0
20220720_091357_024879_1.wav,7296000,7416000,7051,120000,600.0,1,600.0,0.0,0.0,0.0,0,0.0
20191004_125707_025480_2.wav,1799000,1919000,4001,120000,12770.0,15,851.3333333333334,9.59,0.0,9.59,0,3.0
20210414_211244_024882_1.wav,6837000,6957000,5371,120000,2230.0,3,743.3333333333334,19.71,93.08999999999999,112.8,2,2.0
20220728_144904_024880_2.wav,5817000,5937000,7101,120000,16730.0,13,1286.923076923077,58.92999999999999,3.94,62.87,5,9.0
20211103_114626_022870_1.wav,36581000,36701000,6382,120000,0.0,0,,0.0,13.82,13.82,0,0.0
20230301_083834_024880_2.wav,14868000,14988000,6921,120000,0.0,0,,0.0,0.0,0.0,0,0.0
