recording_filename,segment_onset,segment_offset,child_id,duration_alice,wc_fem,wc_mal,wc_adu,duration_vcm,non_can_voc_CHI,can_voc_CHI,can_voc_dur_CHI,duration_vtc,voc_dur_chi,voc_chi,avg_voc_dur_chi,5s_CTC
20230308_094400_045733_2.wav,5817000,5937000,7121,120000,175.08999999999997,76.86999999999999,251.95999999999998,120000,12,4,3975.0,120000,16870.0,17,992.3529411764706,23
20230110_120835_024882_2.wav,1639000,1759000,7231,120000,36.6,85.02,121.61999999999998,120000,8,3,5429.0,120000,12417.0,11,1128.8181818181818,4
20230425_114841_045738_2.wav,5817000,5937000,6212,120000,58.69,50.099999999999994,108.79,120000,3,0,0.0,120000,1248.0,3,416.0,4
20220726_115556_024883_2.wav,39778000,39898000,7111,120000,0.0,0.0,0.0,120000,0,0,0.0,120000,0.0,0,,0
20230301_083834_024880_2.wav,9384000,9504000,6921,120000,0.0,0.0,0.0,120000,0,0,0.0,120000,0.0,0,,0
20210624_093317_024883_2.wav,45308000,45428000,5851,120000,0.0,0.0,0.0,120000,0,0,0.0,120000,0.0,0,,0
20221129_154915_045733_1.wav,28611000,28731000,6641,120000,23.47,6.21,29.68,120000,8,0,0.0,120000,9441.0,8,1180.125,3
20220805_082527_043300_2.wav,1639000,1759000,6981,120000,201.29999999999998,19.58,220.87999999999997,120000,5,0,0.0,120000,7357.0,6,1226.1666666666667,11
20231025_115855_045737_2.wav,9384000,9504000,6731,120000,40.989999999999995,83.73000000000002,124.72000000000001,120000,3,0,0.0,120000,3286.0,3,1095.3333333333333,5
20190819_210318_025481_2.wav,18264000,18384000,3362,120000,79.38000000000001,6.289999999999999,85.67000000000002,120000,5,0,0.0,120000,8642.0,6,1440.3333333333333,5
20230425_114841_045738_2.wav,14868000,14988000,6212,120000,12.67,5.68,18.35,120000,1,0,0.0,120000,729.0,1,729.0,1
20230228_124411_043305_2.wav,1639000,1759000,7141,120000,50.17999999999999,17.96,68.13999999999999,120000,0,0,0.0,120000,0.0,0,,0
20190307_091344_022872.wav,49860000,49980000,3951,120000,0.0,0.0,0.0,120000,0,0,0.0,120000,0.0,0,,0
20230308_093128_024882_2.wav,18264000,18384000,6761,120000,0.0,0.0,0.0,120000,1,0,0.0,120000,307.0,1,307.0,0
20220712_113417_045737_3.wav,6620000,6740000,7061,120000,93.66,7.529999999999999,101.19,120000,3,0,0.0,120000,4995.0,3,1665.0,2
20190307_114201_025481.wav,6620000,6740000,3891,120000,180.32999999999998,20.79,201.12000000000003,120000,4,0,0.0,120000,4109.0,4,1027.25,8
20220726_115556_024883_2.wav,7296000,7416000,7111,120000,240.18,0.0,240.18,120000,10,10,15039.0,120000,25125.0,21,1196.4285714285713,37
20230228_124411_043305_2.wav,41905000,42025000,7141,120000,0.0,0.0,0.0,120000,0,0,0.0,120000,0.0,0,,0
20200312_145204_022874.wav,1502000,1622000,3931,120000,11.21,11.629999999999999,22.840000000000003,120000,1,0,0.0,120000,10785.0,3,3595.0,2
20210318_114924_043305_2.wav,28611000,28731000,5181,120000,121.04999999999998,6.07,127.12,120000,7,0,0.0,120000,6195.0,7,885.0,6
20191004_125707_025480_2.wav,10754000,10874000,4001,120000,201.38,13.870000000000001,215.25000000000003,120000,9,2,1137.0,120000,15952.0,12,1329.3333333333333,17
20180906_133202_022870.wav,18264000,18384000,3461,120000,0.0,0.0,0.0,120000,0,0,0.0,120000,0.0,0,,0
20230131_124242_043302_2.wav,28611000,28731000,7251,120000,88.42,0.0,88.42,120000,11,0,0.0,120000,9522.0,11,865.6363636363636,11
20210414_211244_024882_1.wav,45308000,45428000,5371,120000,7.47,27.479999999999997,34.949999999999996,120000,4,0,0.0,120000,1743.0,4,435.75,1
20230301_083834_024880_2.wav,2202000,2322000,6921,120000,70.94999999999999,190.18,261.13000000000005,120000,0,0,0.0,120000,0.0,0,,0
20200414_130512_024879_2.wav,5817000,5937000,3941,120000,89.32000000000001,27.96,117.28000000000002,120000,15,0,0.0,120000,30270.0,19,1593.157894736842,19
20220829_105740_024880_2.wav,6837000,6957000,7171,120000,0.0,0.0,0.0,120000,0,0,0.0,120000,0.0,0,,0
20191004_125707_025480_2.wav,4252000,4372000,4001,120000,36.269999999999996,52.28,88.55,120000,3,1,857.0,120000,3496.0,4,874.0,5
20230301_083834_024880_2.wav,7296000,7416000,6921,120000,93.58,5.65,99.23,120000,1,0,0.0,120000,729.0,1,729.0,1
20190307_091344_022872.wav,18264000,18384000,3951,120000,75.65,10.329999999999998,85.98,120000,9,1,2395.0,120000,18861.0,11,1714.6363636363637,12
20230308_093128_024882_2.wav,5817000,5937000,6761,120000,34.09,53.61,87.7,120000,4,0,0.0,120000,5422.0,4,1355.5,3
20201104_094551_024882_1.wav,1639000,1759000,3871,120000,142.10999999999999,9.76,151.87,120000,27,0,0.0,120000,34875.0,27,1291.6666666666667,34
20211103_114626_022870_1.wav,2072000,2192000,6382,120000,12.53,28.570000000000004,41.099999999999994,120000,3,0,0.0,120000,6006.0,3,2002.0,2
20210624_093317_024883_2.wav,7296000,7416000,5851,120000,248.15999999999997,32.18,280.34,120000,1,0,0.0,120000,1124.0,1,1124.0,1
20220728_144904_024880_2.wav,41905000,42025000,7101,120000,88.83,55.61000000000001,144.44,120000,6,3,5538.0,120000,18240.0,9,2026.6666666666667,14
20230110_120835_024882_2.wav,2072000,2192000,7231,120000,51.62,65.63,117.25,120000,6,0,0.0,120000,5773.0,7,824.7142857142857,7
20180906_131431_024882.wav,36581000,36701000,3591,120000,51.35999999999999,0.0,51.35999999999999,120000,8,0,0.0,120000,14620.0,8,1827.5,8
20220513_113018_024879_2.wav,20952000,21072000,6371,120000,4.609999999999999,17.200000000000003,21.810000000000002,120000,7,0,0.0,120000,18350.0,9,2038.888888888889,2
20230405_090552_045738_2.wav,39778000,39898000,7281,120000,70.85,32.089999999999996,102.94,120000,13,1,1564.0,120000,15878.0,14,1134.142857142857,15
20180809_181624_025481.wav,18264000,18384000,2781,120000,0.0,0.0,0.0,120000,0,0,0.0,120000,0.0,0,,0
20191004_125707_025480_2.wav,11927000,12047000,4001,120000,54.269999999999996,6.69,60.959999999999994,120000,10,4,10173.0,120000,22563.0,14,1611.642857142857,10
20220829_105740_024880_2.wav,16289000,16409000,7171,120000,21.4,4.12,25.52,120000,7,0,0.0,120000,42882.0,11,3898.3636363636365,3
20180808_111213_024881.wav,1639000,1759000,2761,120000,79.94000000000001,2.99,82.93,120000,2,0,0.0,120000,3159.0,2,1579.5,3
20230405_090552_045738_2.wav,9384000,9504000,7281,120000,35.24,79.37999999999998,114.61999999999998,120000,13,3,5791.0,120000,24365.0,18,1353.611111111111,16
20220711_142955_024883_2.wav,48958000,49078000,7011,120000,0.0,0.0,0.0,120000,0,0,0.0,120000,0.0,0,,0
20230110_120835_024882_2.wav,16289000,16409000,7231,120000,0.0,0.0,0.0,120000,0,0,0.0,120000,0.0,0,,0
20230328_132555_045737_1.wav,49860000,49980000,6451,120000,0.0,0.0,0.0,120000,0,0,0.0,120000,0.0,0,,0
20180906_131431_024882.wav,49860000,49980000,3591,120000,76.25,9.52,85.76999999999998,120000,10,2,2062.0,120000,17354.0,15,1156.9333333333334,11
20220513_113018_024879_2.wav,20429000,20549000,6371,120000,0.0,13.55,13.55,120000,0,0,0.0,120000,0.0,0,,0
20180906_131431_024882.wav,1639000,1759000,3591,120000,209.64000000000001,16.09,225.73000000000005,120000,2,2,1306.0,120000,3424.0,4,856.0,7
20200414_130512_024879_2.wav,1639000,1759000,3941,120000,46.09,69.5,115.59,120000,8,1,947.0,120000,14247.0,10,1424.7,14
20220513_113018_024879_2.wav,4812000,4932000,6371,120000,58.6,8.14,66.74,120000,4,0,0.0,120000,7058.0,5,1411.6,5
20211022_110857_045737_2.wav,1639000,1759000,6161,120000,27.87,6.36,34.23,120000,3,0,0.0,120000,3628.0,3,1209.3333333333333,2
20230131_124242_043302_2.wav,39778000,39898000,7251,120000,353.95,56.32999999999999,410.28,120000,10,0,0.0,120000,5086.0,10,508.6,14
20220829_105740_024880_2.wav,2072000,2192000,7171,120000,14.450000000000001,22.349999999999998,36.8,120000,2,0,0.0,120000,6161.0,2,3080.5,1
20220829_105740_024880_2.wav,7296000,7416000,7171,120000,0.0,10.73,10.73,120000,0,0,0.0,120000,0.0,0,,0
20200414_125938_024878_2.wav,2202000,2322000,4011,120000,50.73000000000001,18.36,69.09,120000,0,0,0.0,120000,0.0,0,,0
20221129_154915_045733_1.wav,45308000,45428000,6641,120000,84.99999999999999,22.6,107.6,120000,20,8,14793.0,120000,41123.0,30,1370.7666666666667,29
20230328_132555_045737_1.wav,49225000,49345000,6451,120000,0.0,0.0,0.0,120000,0,0,0.0,120000,0.0,0,,0
20210127_103244_024879_1.wav,6837000,6957000,5461,120000,53.82000000000001,24.340000000000003,78.16000000000001,120000,8,0,0.0,120000,9219.0,8,1152.375,8
20220720_091357_024879_1.wav,6620000,6740000,7051,120000,10.870000000000001,47.37,58.239999999999995,120000,11,4,12486.0,120000,54594.0,17,3211.4117647058824,16
20210414_211244_024882_1.wav,48958000,49078000,5371,120000,0.0,0.0,0.0,120000,0,0,0.0,120000,0.0,0,,0
20220712_113417_045737_3.wav,7296000,7416000,7061,120000,23.200000000000003,27.979999999999997,51.18,120000,10,2,5389.0,120000,47826.0,15,3188.4,13
20180906_133202_022870.wav,6620000,6740000,3461,120000,0.0,0.0,0.0,120000,6,2,2785.0,120000,9874.0,8,1234.25,0
20210127_103244_024879_1.wav,41905000,42025000,5461,120000,19.14,26.630000000000003,45.77,120000,0,0,0.0,120000,0.0,0,,0
20180808_111213_024881.wav,28611000,28731000,2761,120000,0.0,0.0,0.0,120000,0,0,0.0,120000,0.0,0,,0
20211019_120823_045733_2.wav,36581000,36701000,6461,120000,0.0,10.53,10.53,120000,1,0,0.0,120000,1137.0,1,1137.0,0
20230405_090552_045738_2.wav,36581000,36701000,7281,120000,40.239999999999995,13.12,53.36,120000,20,0,0.0,120000,27457.0,21,1307.4761904761904,5
20230301_083834_024880_2.wav,28611000,28731000,6921,120000,0.0,0.0,0.0,120000,0,0,0.0,120000,0.0,0,,0
20220726_115556_024883_2.wav,2072000,2192000,7111,120000,30.92,4.1,35.02,120000,8,2,5765.0,120000,12323.0,12,1026.9166666666667,6
20221018_135301_043300_4.wav,2202000,2322000,7201,120000,77.17000000000002,0.0,77.17000000000002,120000,4,0,0.0,120000,4568.0,4,1142.0,3
20230110_120835_024882_2.wav,28611000,28731000,7231,120000,57.31,153.89,211.2,120000,0,0,0.0,120000,0.0,0,,0
20190618_135122_024883.wav,5817000,5937000,5011,120000,2.52,0.0,2.52,120000,0,0,0.0,120000,0.0,0,,0
20210504_102146_025480_2.wav,9384000,9504000,6261,120000,52.95,15.04,67.99000000000001,120000,7,0,0.0,120000,12297.0,9,1366.3333333333333,5
20201210_142957_025480_2.wav,9384000,9504000,5901,120000,10.05,0.0,10.05,120000,0,0,0.0,120000,0.0,0,,0
20211103_114626_022870_1.wav,2202000,2322000,6382,120000,83.58,45.540000000000006,129.12,120000,2,1,911.0,120000,7683.0,5,1536.6,7
20190307_091344_022872.wav,45308000,45428000,3951,120000,16.73,9.540000000000001,26.269999999999992,120000,7,0,0.0,120000,10513.0,7,1501.857142857143,5
20230131_124242_043302_2.wav,14868000,14988000,7251,120000,12.44,27.87,40.31,120000,0,0,0.0,120000,0.0,0,,0
20230425_114841_045738_2.wav,9384000,9504000,6212,120000,17.35,13.76,31.11,120000,9,0,0.0,120000,15441.0,10,1544.1,6
20180809_181624_025481.wav,14868000,14988000,2781,120000,75.33999999999999,4.52,79.86,120000,11,2,5948.0,120000,31440.0,14,2245.714285714286,15
20220513_113018_024879_2.wav,9252000,9372000,6371,120000,70.64999999999999,10.95,81.6,120000,9,0,0.0,120000,41015.0,17,2412.6470588235293,20
20221129_154915_045733_1.wav,6837000,6957000,6641,120000,80.5,12.719999999999999,93.22,120000,12,0,0.0,120000,15698.0,14,1121.2857142857142,14
20230301_083834_024880_2.wav,16289000,16409000,6921,120000,0.0,0.0,0.0,120000,0,0,0.0,120000,0.0,0,,0
20210504_102146_025480_2.wav,5817000,5937000,6261,120000,50.94,8.58,59.52,120000,5,0,0.0,120000,8284.0,6,1380.6666666666667,4
20180906_131431_024882.wav,14868000,14988000,3591,120000,0.0,0.0,0.0,120000,0,0,0.0,120000,0.0,0,,0
20190307_114201_025481.wav,14868000,14988000,3891,120000,0.0,0.0,0.0,120000,0,0,0.0,120000,0.0,0,,0
20210504_102146_025480_2.wav,18264000,18384000,6261,120000,0.0,0.0,0.0,120000,4,0,0.0,120000,4873.0,5,974.6,0
20210414_211244_024882_1.wav,7296000,7416000,5371,120000,97.78,6.48,104.26,120000,16,2,3434.0,120000,24082.0,20,1204.1,17
20190307_114201_025481.wav,16289000,16409000,3891,120000,0.0,0.0,0.0,120000,2,0,0.0,120000,953.0,2,476.5,0
20230228_124411_043305_2.wav,18264000,18384000,7141,120000,19.509999999999998,78.61000000000001,98.11999999999999,120000,4,0,0.0,120000,11414.0,5,2282.8,3
20180906_133202_022870.wav,5817000,5937000,3461,120000,0.0,0.0,0.0,120000,0,0,0.0,120000,331.0,1,331.0,0
20211103_114626_022870_1.wav,5817000,5937000,6382,120000,7.17,88.72999999999999,95.89999999999999,120000,4,2,6516.0,120000,13072.0,6,2178.6666666666665,3
20220720_091357_024879_1.wav,2072000,2192000,7051,120000,35.38,104.91999999999999,140.3,120000,17,1,3964.0,120000,28837.0,18,1602.0555555555557,16
20180809_181624_025481.wav,2202000,2322000,2781,120000,22.58,11.969999999999999,34.550000000000004,120000,2,0,0.0,120000,1178.0,2,589.0,1
20230308_094400_045733_2.wav,28611000,28731000,7121,120000,41.66,109.59000000000002,151.24999999999997,120000,5,0,0.0,120000,3901.0,5,780.2,3
20211019_120823_045733_2.wav,48958000,49078000,6461,120000,52.55,18.919999999999998,71.47,120000,0,0,0.0,120000,0.0,0,,0
20230131_124242_043302_2.wav,6620000,6740000,7251,120000,4.69,8.32,13.01,120000,7,1,5494.0,120000,40798.0,10,4079.8,6
20181218_132113_024879.wav,7296000,7416000,3131,120000,232.77999999999997,44.69,277.46999999999997,120000,7,3,4937.0,120000,15271.0,11,1388.2727272727273,18
20180530_181655_022873.wav,1639000,1759000,3321,120000,58.72,0.88,59.60000000000001,120000,5,0,0.0,120000,87287.0,26,3357.1923076923076,30
20180808_110630_024879.wav,7296000,7416000,3501,120000,125.56,10.3,135.85999999999999,120000,21,6,13812.0,120000,36596.0,29,1261.9310344827586,25
20201210_142957_025480_2.wav,1639000,1759000,5901,120000,0.0,6.36,6.36,120000,1,0,0.0,120000,422.0,1,422.0,0
20190618_135122_024883.wav,36581000,36701000,5011,120000,31.54,9.04,40.58,120000,12,3,5649.0,120000,85195.0,33,2581.6666666666665,21
20230425_114841_045738_2.wav,16289000,16409000,6212,120000,21.229999999999997,88.32000000000001,109.55000000000001,120000,13,1,3196.0,120000,18023.0,16,1126.4375,16
20220513_113018_024879_2.wav,819000,939000,6371,120000,25.009999999999998,13.89,38.9,120000,4,0,0.0,120000,4214.0,4,1053.5,2
20201210_142957_025480_2.wav,18264000,18384000,5901,120000,98.86,90.41000000000003,189.27,120000,0,0,0.0,120000,0.0,0,,0
20180809_181624_025481.wav,1639000,1759000,2781,120000,87.19999999999999,44.150000000000006,131.35,120000,8,9,21652.0,120000,48297.0,22,2195.318181818182,29
20221129_154915_045733_1.wav,18264000,18384000,6641,120000,0.0,0.0,0.0,120000,0,0,0.0,120000,0.0,0,,0
20220805_082527_043300_2.wav,7296000,7416000,6981,120000,199.89999999999998,0.0,199.89999999999998,120000,12,2,2283.0,120000,52720.0,25,2108.8,38
20210504_102146_025480_2.wav,6837000,6957000,6261,120000,48.39,15.790000000000001,64.17999999999999,120000,4,2,4281.0,120000,9167.0,7,1309.5714285714287,6
20210127_103244_024879_1.wav,7296000,7416000,5461,120000,11.149999999999999,68.33000000000001,79.47999999999999,120000,7,0,0.0,120000,7620.0,7,1088.5714285714287,2
20180808_111213_024881.wav,39778000,39898000,2761,120000,3.14,0.0,3.14,120000,5,1,2032.0,120000,8720.0,6,1453.3333333333333,1
20190307_114201_025481.wav,6837000,6957000,3891,120000,118.87,27.14,146.01,120000,10,3,5446.0,120000,17536.0,13,1348.923076923077,14
20230405_090552_045738_2.wav,7296000,7416000,7281,120000,0.0,3.35,3.35,120000,0,0,0.0,120000,0.0,0,,0
20200312_145204_022874.wav,819000,939000,3931,120000,128.2,116.61000000000001,244.81,120000,3,0,0.0,120000,2842.0,3,947.3333333333334,3
