segment_onset,segment_offset,speaker_type,vcm_type
1049959,1050506,FEM,NA
1050084,1052492,OCH,NA
1051394,1051885,FEM,NA
1052074,1052511,FEM,NA
1054011,1055213,NA,NA
1054610,1054831,FEM,NA
1055492,1055603,NA,NA
1055754,1057386,NA,NA
1056011,1057272,CHI,N
1059276,1059387,NA,NA
1059492,1059652,NA,NA
1060617,1064991,NA,NA
1060931,1062642,OCH,NA
1061056,1061491,CHI,N
1062936,1064455,FEM,NA
1066119,1069025,NA,NA
1066142,1067765,FEM,NA
1068228,1068412,FEM,NA
1070317,1070992,NA,NA
1070570,1070683,FEM,NA
1077511,1078993,FEM,NA
1077511,1079045,NA,NA
1079393,1080382,NA,NA
1079504,1080010,FEM,NA
1084460,1087592,FEM,NA
1084482,1087729,NA,NA
1089327,1091268,NA,NA
1089464,1090961,FEM,NA
1096011,1099178,NA,NA
1096070,1096531,FEM,NA
1098016,1099135,FEM,NA
1110009,1111339,NA,NA
1136992,1138511,CHI,C
1136992,1138637,NA,NA
1140510,1146492,FEM,NA
1140510,1146492,NA,NA
1148506,1152011,NA,NA
1149473,1151712,FEM,NA
1153980,1155845,NA,NA
1154093,1155102,OCH,NA
1155244,1155403,CHI,N
1156867,1158011,NA,NA
1157402,1157999,OCH,NA
1165992,1171493,FEM,NA
1165992,1174057,NA,NA
1171709,1172791,CHI,C
1172662,1174010,FEM,NA
1174380,1175473,NA,NA
1174792,1175335,CHI,N
1177242,1180610,NA,NA
1177269,1180109,CHI,N
1181491,1183511,NA,NA
1181576,1183012,FEM,NA
1182011,1182880,CHI,N
1183974,1184590,NA,NA
1196512,1197012,NA,NA
1196512,1197109,FEM,NA
1215797,1216950,NA,NA
1216058,1216510,CHI,N
1225083,1225977,NA,NA
1232375,1238384,NA,NA
1232444,1233993,FEM,NA
1235554,1238269,FEM,NA
1239011,1241068,NA,NA
1239388,1239491,FEM,NA
1241487,1244791,NA,NA
1241575,1243492,OCH,NA
1241625,1243510,CHI,C
1243699,1244781,FEM,NA
1245549,1249177,FEM,NA
1245549,1285226,NA,NA
1249297,1249569,CHI,N
1249511,1249970,FEM,NA
1250183,1256589,FEM,NA
1256464,1257512,CHI,C
1257358,1267326,FEM,NA
1259331,1259992,OCH,NA
1265654,1265757,CHI,N
1267851,1270505,FEM,NA
1270607,1285192,FEM,NA
1272012,1272930,MAL,NA
1273506,1274147,CHI,N
1278992,1279122,MAL,NA
1285991,1289791,FEM,NA
1286012,1289856,NA,NA
1290764,1293015,FEM,NA
1290796,1293013,NA,NA
1295511,1311379,NA,NA
1295511,1303245,FEM,NA
1300467,1301010,CHI,N
1303135,1305229,CHI,C
1305011,1306992,FEM,NA
1307139,1311251,FEM,NA
1307166,1307831,CHI,N
1312087,1332398,NA,NA
1312403,1314026,FEM,NA
1315443,1316511,CHI,N
1316221,1318359,FEM,NA
1318472,1320090,NA,J
1319188,1319311,OCH,NA
1320152,1326993,FEM,NA
1323800,1324011,CHI,N
1324596,1324915,OCH,NA
1327492,1328403,CHI,C
1327566,1331167,OCH,NA
1328781,1328899,FEM,NA
1330725,1332380,FEM,NA
1335656,1338798,FEM,NA
1335660,1338849,NA,NA
1342492,1344961,FEM,NA
1342502,1346324,NA,NA
1345820,1346232,FEM,NA
1346444,1352360,NA,NA
1346536,1352326,FEM,NA
1356468,1360992,NA,NA
1356510,1360871,FEM,NA
1359107,1359325,MAL,NA
1359492,1360456,MAL,NA
1364221,1366504,FEM,NA
1364315,1366733,NA,NA
1367992,1376171,NA,NA
1368188,1375512,FEM,NA
1376295,1376416,NA,NA
1378011,1380993,NA,NA
1378272,1378805,OCH,NA
1378510,1379247,FEM,NA
1385265,1390466,NA,NA
1385297,1390010,FEM,NA
1392247,1393040,NA,NA
1392306,1392952,CHI,N
1393559,1394858,NA,NA
1395011,1398011,NA,NA
1395254,1396992,FEM,NA
1403823,1407348,NA,NA
1403992,1404886,CHI,N
1404511,1404663,FEM,NA
1404992,1405336,FEM,NA
1405294,1407253,CHI,C
1413593,1415200,FEM,NA
1413612,1415224,NA,NA
1416511,1420011,NA,NA
1416820,1418511,FEM,NA
1416823,1417263,CHI,N
1419027,1419928,CHI,C
1421545,1423481,FEM,NA
1421564,1423493,NA,NA
1424154,1425718,NA,NA
1424368,1425510,FEM,NA
1424439,1424540,OCH,NA
1424642,1424993,OCH,NA
1432772,1435372,NA,NA
1432817,1435303,CHI,C
1455864,1456620,NA,NA
1457988,1462492,NA,NA
1458069,1458914,FEM,NA
1459291,1460126,FEM,NA
1460076,1460965,CHI,N
1460599,1462492,FEM,NA
1465432,1468993,NA,NA
1465491,1466728,CHI,C
1467497,1468835,CHI,N
1469836,1473511,NA,NA
1469932,1471144,CHI,N
1471011,1473512,FEM,NA
1479413,1488131,NA,NA
1479492,1480759,NA,J
1479894,1480272,OCH,NA
1480881,1481596,FEM,NA
1481993,1483684,CHI,C
1483360,1483507,FEM,NA
1484409,1488010,CHI,Y
1488512,1494803,NA,NA
1488723,1490228,FEM,NA
1490692,1492427,FEM,NA
1492781,1493282,FEM,NA
1493492,1493970,MAL,NA
1495493,1501060,NA,NA
1495751,1498200,CHI,C
1498741,1500918,CHI,C
1499011,1499519,FEM,NA
1503492,1503941,NA,NA
1504810,1506035,NA,NA
1504967,1505512,CHI,N
1504992,1505807,OCH,NA
1506371,1517784,NA,NA
1506554,1512010,FEM,NA
1506632,1507012,OCH,NA
1512230,1512512,FEM,NA
1513439,1514011,OCH,NA
1514012,1517493,FEM,NA
1518475,1533911,NA,NA
1519790,1522974,CHI,N
1521583,1521991,FEM,NA
1522304,1522461,FEM,NA
1523435,1525519,CHI,C
1525139,1526513,FEM,NA
1527157,1531492,CHI,C
1529709,1529993,FEM,NA
1531492,1533768,FEM,NA
1532390,1532852,CHI,N
1534918,1535806,NA,NA
1534992,1535767,CHI,N
1537280,1539570,NA,NA
1537313,1539493,FEM,NA
1540348,1563104,NA,NA
1540439,1543961,FEM,NA
1544213,1544326,OCH,NA
1544668,1547511,OCH,NA
1545436,1546511,FEM,NA
1546984,1551012,CHI,C
1551187,1552007,CHI,N
1553214,1553769,MAL,NA
1554169,1554294,CHI,N
1554491,1556492,FEM,NA
1556074,1559491,OCH,NA
1560080,1562642,FEM,NA
1561520,1562573,OCH,NA
1563238,1571228,NA,NA
1563519,1564288,CHI,N
1563653,1563992,FEM,NA
1564429,1565011,CHI,N
1564503,1565608,OCH,NA
1565011,1571202,FEM,NA
1572369,1578830,NA,NA
1572404,1573099,CHI,N
1573005,1576142,FEM,NA
1576893,1577948,CHI,N
1577978,1578636,FEM,NA
1579898,1584010,NA,NA
1581272,1583965,FEM,NA
1584136,1584492,NA,NA
1584682,1585041,NA,NA
1585492,1585747,NA,NA
1588493,1589571,NA,NA
1589075,1589328,FEM,NA
1589968,1590700,NA,NA
1590011,1590441,FEM,NA
1591140,1593472,NA,NA
1591257,1592492,FEM,NA
1592992,1593490,FEM,NA
1596993,1600397,CHI,N
1596993,1600493,NA,NA
1601993,1603011,CHI,C
1601993,1607177,NA,NA
1603459,1605492,OCH,NA
1604902,1607011,FEM,NA
1607916,1611421,NA,NA
1608093,1608213,OCH,NA
1608287,1611402,FEM,NA
1611927,1621131,NA,NA
1611993,1618492,FEM,NA
1619011,1621141,FEM,NA
1621342,1625647,NA,NA
1621370,1622612,FEM,NA
1622778,1625648,FEM,NA
1627511,1629215,NA,NA
1627746,1628887,CHI,N
1629511,1629644,NA,NA
1629990,1632493,NA,NA
1630010,1632492,FEM,NA
1632778,1644184,NA,NA
1632992,1637712,FEM,NA
1637813,1638510,FEM,NA
1638623,1640010,FEM,NA
1640272,1644179,FEM,NA
1645436,1646511,NA,NA
1658293,1658992,NA,NA
1658489,1658857,CHI,N
1658492,1658673,OCH,NA
1664562,1664992,NA,NA
1664604,1664903,CHI,N
1667512,1667699,NA,NA
1669602,1672219,NA,NA
1670011,1672011,FEM,NA
1671511,1672011,OCH,NA
1675011,1675308,NA,NA
1675504,1680728,NA,NA
1676784,1679010,OCH,NA
1677081,1677319,CHI,N
1678683,1678853,FEM,NA
1679041,1680568,FEM,NA
1682993,1684012,FEM,NA
1682993,1684512,NA,NA
1684707,1684992,NA,NA
1688710,1691012,NA,NA
1688713,1690991,FEM,NA
1693504,1693890,FEM,NA
1693509,1693992,NA,NA
1697492,1698012,FEM,NA
1697492,1698012,NA,NA
1701493,1703034,NA,NA
1701543,1702942,FEM,NA
1704289,1705011,NA,NA
1704326,1704664,FEM,NA
1704795,1704918,FEM,NA
1706255,1707510,FEM,NA
1706304,1707560,NA,NA
1708005,1708850,NA,NA
1708103,1708511,FEM,NA
1710273,1712770,NA,NA
1710295,1711832,CHI,C
1711780,1712511,OCH,NA
1712127,1712510,FEM,NA
1715487,1723088,NA,NA
1715491,1717011,CHI,N
1717359,1718361,OCH,NA
1718766,1718945,OCH,NA
1721010,1723013,FEM,NA
1725854,1726809,CHI,N
1725855,1726992,NA,NA
1727519,1728992,NA,NA
1727637,1728827,CHI,C
1729488,1739421,NA,NA
1729517,1730492,CHI,C
1729991,1730614,FEM,NA
1730943,1732992,FEM,NA
1733427,1737303,FEM,NA
1737739,1738493,CHI,N
1737992,1739075,FEM,NA
1740275,1744624,NA,NA
1741436,1743512,CHI,N
1743898,1744619,FEM,NA
1745734,1748037,FEM,NA
1745763,1748034,NA,NA
1748512,1752091,FEM,NA
1748512,1752466,NA,NA
1753491,1754125,NA,NA
1754492,1755820,NA,NA
1754534,1755793,FEM,NA
1760398,1761632,NA,NA
1776992,1778361,NA,NA
1776997,1778337,CHI,C
1782980,1784173,CHI,C
1782989,1784398,NA,NA
1785397,1787279,NA,NA
1785434,1786539,OCH,NA
1787997,1790511,NA,NA
1788514,1790492,FEM,NA
1790615,1793381,NA,NA
1792493,1793155,FEM,NA
1797235,1798577,NA,NA
1797299,1798305,CHI,N
1798991,1837299,NA,NA
1799137,1801091,CHI,C
1799268,1801089,OCH,NA
1801356,1807979,FEM,NA
1807491,1807975,CHI,N
1808011,1810159,OCH,NA
1808090,1809059,CHI,N
1809489,1812388,FEM,NA
1811511,1811779,OCH,NA
1811982,1813511,OCH,NA
1814333,1815663,FEM,NA
1815556,1817186,OCH,NA
1815575,1816493,CHI,N
1816649,1817197,CHI,N
1817512,1817715,CHI,N
1817993,1818130,CHI,N
1818450,1819992,CHI,N
1819152,1820046,OCH,NA
1820293,1821022,FEM,NA
1821992,1825583,OCH,NA
1825511,1836395,FEM,NA
1826931,1827167,CHI,N
1833626,1833748,OCH,NA
1833992,1834277,OCH,NA
1835548,1835651,OCH,NA
1835867,1837011,OCH,NA
1837510,1837650,NA,NA
1837765,1846511,NA,NA
1837991,1846511,FEM,NA
1850361,1850992,NA,NA
1850492,1850991,FEM,NA
1851491,1853011,MAL,NA
1851491,1855284,NA,NA
1852014,1852777,FEM,NA
1853201,1853338,MAL,NA
1853702,1855209,FEM,NA
1856338,1858324,NA,NA
1856412,1857269,CHI,N
1857435,1858400,FEM,NA
1866863,1870012,NA,NA
1866947,1869770,OCH,NA
1868066,1868182,CHI,N
1868528,1869510,CHI,C
1875493,1875955,MAL,NA
1881262,1882605,NA,NA
1881330,1882511,CHI,N
1883993,1884263,OCH,NA
1910979,1911782,NA,NA
1911011,1911114,FEM,NA
1911257,1911492,FEM,NA
1911993,1912992,NA,NA
1912231,1912511,FEM,NA
1914011,1917492,NA,NA
1914121,1917385,CHI,C
1919973,1924992,NA,NA
1919984,1924992,FEM,NA
1930605,1930811,NA,NA
1933372,1934980,NA,NA
1933492,1933991,CHI,N
1933492,1934756,OCH,NA
1935392,1942566,NA,NA
1935610,1935993,CHI,N
1936074,1936177,FEM,NA
1936290,1938261,FEM,NA
1938411,1942252,CHI,Y
1941992,1942512,FEM,NA
1944786,1944992,OCH,NA
1945956,1952993,NA,NA
1945991,1947511,CHI,C
1947512,1947720,OCH,NA
1947993,1948290,OCH,NA
1948700,1951012,OCH,NA
1951226,1951758,FEM,NA
1952022,1952950,CHI,N
1953993,1970991,NA,NA
1954027,1960492,FEM,NA
1960443,1961975,NA,J
1960580,1961976,OCH,NA
1961753,1970992,FEM,NA
1971837,1986166,NA,NA
1971839,1975638,FEM,NA
1975119,1975367,MAL,NA
1975506,1975660,CHI,N
1976100,1976991,CHI,N
1976282,1976464,MAL,NA
1976994,1983874,FEM,NA
1983827,1985665,CHI,N
1986790,1987855,NA,NA
1989011,1992791,NA,NA
1989080,1990492,OCH,NA
1990011,1990406,FEM,NA
1990992,1991993,FEM,NA
1991243,1992782,OCH,NA
1996512,2003635,NA,NA
1996653,1997780,CHI,N
1996836,1997440,OCH,NA
1998165,2000492,CHI,N
1998370,2000361,OCH,NA
2001309,2001992,CHI,N
2001340,2002579,OCH,NA
2002020,2003081,FEM,NA
2002685,2003404,OCH,NA
2004634,2005744,NA,NA
2004765,2005492,OCH,NA
2005066,2005189,CHI,N
2005987,2007025,NA,NA
2006127,2007011,FEM,NA
2009949,2010909,NA,NA
2009988,2010855,FEM,NA
2010079,2010641,CHI,N
2011581,2012548,NA,NA
2011679,2012011,FEM,NA
2012011,2012313,CHI,N
2013265,2015492,NA,NA
2013366,2014535,OCH,NA
2013491,2015015,CHI,N
2019011,2021039,NA,NA
2019013,2020760,OCH,NA
2019782,2019888,FEM,NA
2019992,2020169,FEM,NA
2020012,2020915,CHI,N
2022459,2030475,NA,NA
2022492,2025135,CHI,C
2022649,2025098,OCH,NA
2025289,2025778,CHI,C
2025349,2025509,OCH,NA
2025511,2027497,FEM,NA
2026011,2026484,OCH,NA
2026588,2030493,OCH,NA
2032229,2032825,CHI,N
2032248,2032810,NA,NA
2034312,2035983,NA,NA
2034320,2035815,CHI,C
2037057,2048378,NA,NA
2037228,2040696,CHI,C
2037550,2040986,OCH,NA
2040431,2040925,FEM,NA
2041814,2048218,CHI,C
2046268,2046511,OCH,NA
2049003,2050517,NA,NA
2049025,2050491,CHI,N
2052417,2053578,NA,NA
2052493,2053394,FEM,NA
2052857,2052995,CHI,N
2057992,2059011,CHI,N
2057992,2059018,NA,NA
2061992,2073843,NA,NA
2061995,2071992,OCH,NA
2064103,2064400,CHI,N
2064511,2065161,CHI,N
2071293,2073639,FEM,NA
2075510,2075640,NA,NA
2075993,2085215,NA,NA
2076011,2078134,FEM,NA
2077817,2081992,CHI,C
2080510,2080856,OCH,NA
2080991,2085362,OCH,NA
2085326,2087511,NA,NA
2085510,2087537,OCH,NA
2090510,2093492,OCH,NA
2090600,2095011,NA,NA
2093511,2094790,FEM,NA
2099648,2101676,NA,NA
2099993,2101434,OCH,NA
2100511,2101459,CHI,N
2101992,2109631,NA,NA
2102014,2103604,CHI,C
2104073,2104552,FEM,NA
2104723,2105018,CHI,N
2104728,2104834,OCH,NA
2105011,2106353,OCH,NA
2105543,2105847,CHI,N
2107304,2109653,FEM,NA
2120757,2120992,NA,NA
2121996,2122393,OCH,NA
2122043,2122288,NA,NA
2123192,2123531,OCH,NA
2123248,2123553,NA,NA
2124812,2124993,NA,NA
