segment_onset,segment_offset,speaker_type,vcm_type
1300492,1302525,NA,NA
1302650,1302910,NA,NA
1305479,1308012,NA,NA
1305528,1308145,MAL,NA
1306010,1306997,FEM,NA
1309993,1312511,FEM,NA
1309993,1312511,NA,NA
1318579,1323517,NA,NA
1318763,1320464,OCH,NA
1319524,1319885,FEM,NA
1321078,1321201,MAL,NA
1321895,1323481,FEM,NA
1321986,1322492,MAL,NA
1324736,1334989,NA,NA
1324991,1332492,FEM,NA
1327092,1328196,MAL,NA
1329873,1330484,MAL,NA
1331512,1334539,MAL,NA
1334013,1334175,FEM,NA
1338992,1339996,NA,NA
1339011,1339932,FEM,NA
1351011,1355012,NA,NA
1351102,1353670,FEM,NA
1352992,1355493,MAL,NA
1357325,1358012,NA,NA
1361694,1362987,MAL,NA
1365366,1366991,NA,NA
1365491,1366510,FEM,NA
1367828,1368510,MAL,NA
1374197,1375112,MAL,NA
1375292,1376173,MAL,NA
1375628,1375844,NA,NA
1385513,1386625,MAL,NA
1391352,1395520,NA,NA
1391464,1393843,CHI,Y
1392992,1393491,OCH,NA
1394331,1395327,CHI,N
1396612,1399697,NA,NA
1396990,1397938,OCH,NA
1398858,1399224,OCH,NA
1399012,1399564,FEM,NA
1401673,1410470,NA,NA
1402837,1406523,FEM,NA
1406719,1407608,OCH,NA
1406801,1407516,FEM,NA
1407787,1410258,FEM,NA
1408042,1408992,OCH,NA
1411511,1414493,NA,NA
1411638,1414011,FEM,NA
1411722,1411938,OCH,NA
1412419,1413538,OCH,NA
1416013,1418018,MAL,NA
1416494,1417807,NA,NA
1418183,1418311,MAL,NA
1419010,1420991,NA,NA
1419491,1420492,FEM,NA
1419684,1419902,MAL,NA
1422011,1422122,NA,NA
1422291,1425399,NA,NA
1422487,1423012,OCH,NA
1422686,1423012,CHI,N
1423578,1425476,MAL,NA
1429699,1430992,OCH,NA
1429709,1434998,NA,NA
1429993,1432134,FEM,NA
1432860,1433992,OCH,NA
1433000,1434917,FEM,NA
1436555,1437905,NA,NA
1436866,1437990,MAL,NA
