segment_onset,segment_offset,speaker_type,phonemes,syllables,words,raw_filename
41691248,41691564,MAL,5.49,2.23,1.49,20220624_140959_025480_2.txt
41691908,41692107,MAL,5.92,2.57,1.61,20220624_140959_025480_2.txt
41693402,41696993,FEM,32.39,16.09,10.64,20220624_140959_025480_2.txt
41698014,41698837,MAL,10.29,4.74,3.07,20220624_140959_025480_2.txt
41698074,41698403,FEM,7.22,3.28,2.07,20220624_140959_025480_2.txt
41698547,41703512,FEM,34.42,16.54,11.81,20220624_140959_025480_2.txt
41703010,41704552,MAL,10.0,4.09,3.14,20220624_140959_025480_2.txt
41704809,41704990,MAL,8.9,4.18,2.6,20220624_140959_025480_2.txt
41707992,41709772,MAL,18.82,9.04,6.02,20220624_140959_025480_2.txt
41709308,41710511,FEM,13.28,6.25,4.18,20220624_140959_025480_2.txt
41712801,41715052,MAL,18.05,8.7,5.95,20220624_140959_025480_2.txt
41715493,41716011,FEM,4.65,1.73,1.25,20220624_140959_025480_2.txt
41721991,41722934,FEM,8.25,3.58,2.51,20220624_140959_025480_2.txt
41727398,41727844,MAL,6.22,2.73,1.75,20220624_140959_025480_2.txt
41731011,41732899,FEM,12.66,5.72,4.09,20220624_140959_025480_2.txt
41735248,41735483,MAL,4.24,1.61,1.06,20220624_140959_025480_2.txt
41735461,41737012,FEM,11.8,5.26,3.75,20220624_140959_025480_2.txt
41736544,41736655,MAL,5.67,2.46,1.52,20220624_140959_025480_2.txt
41738910,41739511,FEM,6.13,2.53,1.7,20220624_140959_025480_2.txt
41738993,41744104,MAL,45.86,22.97,15.17,20220624_140959_025480_2.txt
41744013,41746340,FEM,17.25,7.86,5.54,20220624_140959_025480_2.txt
41744572,41745146,MAL,7.09,3.02,2.01,20220624_140959_025480_2.txt
41746099,41749904,MAL,27.71,13.18,9.32,20220624_140959_025480_2.txt
41749472,41750950,FEM,12.65,5.64,3.97,20220624_140959_025480_2.txt
41752010,41752320,MAL,7.37,3.37,2.12,20220624_140959_025480_2.txt
41752511,41755788,FEM,26.25,12.78,8.8,20220624_140959_025480_2.txt
41753055,41753990,MAL,9.76,4.38,3.02,20220624_140959_025480_2.txt
41764493,41765905,FEM,10.69,4.66,3.35,20220624_140959_025480_2.txt
41772657,41773285,MAL,6.78,2.79,1.97,20220624_140959_025480_2.txt
41776157,41778045,FEM,16.48,7.66,5.31,20220624_140959_025480_2.txt
41776194,41777490,MAL,12.59,5.72,3.92,20220624_140959_025480_2.txt
41778241,41778492,FEM,10.24,4.94,3.06,20220624_140959_025480_2.txt
41778288,41779144,MAL,11.27,5.3,3.45,20220624_140959_025480_2.txt
41790511,41791024,FEM,8.88,4.13,2.6,20220624_140959_025480_2.txt
41791493,41791992,FEM,8.66,4.03,2.57,20220624_140959_025480_2.txt
41797512,41800195,FEM,19.32,9.01,6.39,20220624_140959_025480_2.txt
41801511,41801789,FEM,5.99,2.5,1.65,20220624_140959_025480_2.txt
41801992,41802330,FEM,4.89,1.87,1.29,20220624_140959_025480_2.txt
41802529,41802990,FEM,7.09,3.07,2.05,20220624_140959_025480_2.txt
41805609,41813743,FEM,58.07,28.36,20.11,20220624_140959_025480_2.txt
41815492,41816992,FEM,13.13,5.91,4.13,20220624_140959_025480_2.txt
41821010,41821270,FEM,8.27,3.87,2.41,20220624_140959_025480_2.txt
41822546,41822727,FEM,9.45,4.53,2.79,20220624_140959_025480_2.txt
41822603,41823919,MAL,8.77,3.56,2.75,20220624_140959_025480_2.txt
41824718,41825035,FEM,10.32,4.96,3.1,20220624_140959_025480_2.txt
41824833,41824971,MAL,11.34,5.59,3.41,20220624_140959_025480_2.txt
41829510,41831699,MAL,17.21,8.31,5.66,20220624_140959_025480_2.txt
41839129,41839406,MAL,6.77,3.03,1.91,20220624_140959_025480_2.txt
41839991,41841058,MAL,13.71,6.53,4.25,20220624_140959_025480_2.txt
41842492,41846491,FEM,34.18,16.84,11.4,20220624_140959_025480_2.txt
41848540,41849510,FEM,12.91,6.1,4.02,20220624_140959_025480_2.txt
41854710,41855512,FEM,11.73,5.54,3.6,20220624_140959_025480_2.txt
41858080,41861551,FEM,31.44,15.38,10.4,20220624_140959_025480_2.txt
41864065,41864298,MAL,4.2,1.62,1.05,20220624_140959_025480_2.txt
41867992,41869511,MAL,16.34,8.0,5.31,20220624_140959_025480_2.txt
41881080,41883348,FEM,19.78,9.45,6.47,20220624_140959_025480_2.txt
41885993,41887856,FEM,17.03,7.83,5.44,20220624_140959_025480_2.txt
